text,retweets,replies,likes,quotes,created_at,vader_score,vader_label,tblob_score,tblob_label,top1_mood,top2_mood,top3_mood
"Now Hiring: Policy and Governance Analyst at Santander Private Banking International (Dallas, TX) https://t.co/Ig8PdxkuuP #risk #compliance #compliancejobs",0,0,0,0,2022-07-17 23:01:32+00:00,0.0,neu,0.0,neu,SAD,ANGRY,INSPIRED
@GAMETrowbridge - think I left my credit card in store today? Were any left on the counter? A santander one?,0,0,0,0,2022-07-17 21:38:50+00:00,0.4836,neu,0.0,neu,AMUSED,INSPIRED,SAD
@StuartG58493143 @r954ie Nice one. Nothing over in my basic account with Santander yet.,0,1,0,0,2022-07-17 21:30:42+00:00,0.4215,neu,0.3,pos,INSPIRED,ANNOYED,DONT_CARE
@NathanHeadPhoto Had the same with Santander.... called them up only to have someone who clearly didn't even know what crypto was read me a script about how risky it is 🤦‍♂️ then when they finally unblocked my account it happened again immediately.....,0,0,1,0,2022-07-17 20:00:22+00:00,0.2263,neu,0.025000000000000005,neu,AMUSED,DONT_CARE,INSPIRED
"'It looks so legit!' Santander scam email includes full name and account number

Fake documents included her full name and last four digits of her account number. One of the hoax emails was entitled 'Payment(s) refused due to la...
#Santander #Twitter
https://t.co/QlZ6cld1hR",0,0,0,0,2022-07-17 19:22:28+00:00,-0.8383,neg,0.01499999999999999,neu,AMUSED,ANGRY,INSPIRED
"@IamObroniBa @thewordsmith0 On Tamale Airport, what Mahama submitted to Parliament in October 2016 was an Export Credit Facility from Banco Santander with Export Credit Guarantee from the UK Export Finance.However, Banco Santander was unable to put together the required loan syndication for the project…1/2",0,2,0,0,2022-07-17 19:19:45+00:00,0.7351,pos,-0.5,neg,ANGRY,HAPPY,ANNOYED
@santanderukhelp I’ve had a text message purporting to be Santander (I have an account) to say a payment has been set up. Looks like a scam?,0,1,0,0,2022-07-17 18:01:15+00:00,-0.296,neg,0.0,neu,ANGRY,AMUSED,DONT_CARE
"On Tamale Airport, what Mahama submitted to Parliament in October 2016 was an Export Credit Facility from Banco Santander with Export Credit Guarantee from the UK Export Finance.However, Banco Santander was unable to put together the required loan syndication for the project…1/2 https://t.co/oTMdjNVxVZ https://t.co/W1vQFaZPFW",44,2,69,4,2022-07-17 17:00:16+00:00,0.7351,pos,-0.5,neg,ANGRY,HAPPY,ANNOYED
"Now Hiring: VP, Sr. Associate, Risk Modeling at Santander Private Banking International (Boston, MA) https://t.co/1zb0C9H2jE #risk #compliance #compliancejobs",0,0,0,0,2022-07-17 16:30:32+00:00,-0.2732,neg,0.0,neu,SAD,INSPIRED,ANGRY
"Now Hiring: Manager, Compliance at Santander Private Banking International (Dallas, TX) https://t.co/mo3PHJO1Nu #risk #compliance #compliancejobs",0,0,0,0,2022-07-17 16:27:34+00:00,0.0,neu,0.0,neu,SAD,ANGRY,INSPIRED
@mustardd874 Sorry to hear that you are having an issue. Please call the number on the back of your Santander card and an advisor will be happy to help. ^JM,0,0,0,0,2022-07-17 14:58:11+00:00,0.8271,pos,0.10000000000000002,neu,INSPIRED,DONT_CARE,ANNOYED
"@Deepdiver47 Hi, sorry to hear you are having an issue. If you call the number on the back of your Santander card, an advisor will be happy to help. ^JM",0,0,0,0,2022-07-17 12:15:03+00:00,0.7506,pos,0.10000000000000002,neu,INSPIRED,DONT_CARE,AMUSED
@santanderukhelp happy Sunday! I’m hoping to transfer an AMEX card over to my Santander Credit Card (via balance transfer) - how do I do this with AMEX having less digits than a standard Visa or Mastercard? The website insists on 16 digits whereas AMEX on have 15 digits,0,1,0,0,2022-07-17 11:40:12+00:00,0.8553,pos,0.2777777777777778,pos,INSPIRED,AMUSED,DONT_CARE
#Finance ‘It looks so legit!’ Santander scam email includes full name and account number https://t.co/gIGni9ML1u,0,0,0,0,2022-07-17 11:38:04+00:00,-0.6067,neg,0.35,pos,AMUSED,ANGRY,ANNOYED
@SanCyclesMK hi! I have been using London Santander Cycles this week and my account has been suspended for some reason? Any way I can get help through Twitter or a virtual chat? :),0,0,0,1,2022-07-17 11:29:06+00:00,0.5027,neu,0.5,pos,INSPIRED,AMUSED,DONT_CARE
Santander scam: phishing email includes customer's full name and account number: Scammers called victim pretending to be from NatWest Fraud Unit. Get pensions ... https://t.co/pCI8vdjfus #419fraud #fraud,0,0,0,0,2022-07-17 10:45:35+00:00,-0.836,neg,0.13749999999999998,neu,ANGRY,AMUSED,ANNOYED
@santanderukhelp I am struggling to get in with contact with Santander in reference to credit card payments being duplicated. Your chat function does not seem to be working and I am unable to call - any suggestions welcome.,0,1,0,0,2022-07-17 10:36:01+00:00,0.4215,neu,0.15000000000000002,neu,AMUSED,INSPIRED,ANNOYED
"#business @NewYorkFed @bankofengland @GoldmanSachs @business @bancaditalia @LloydsofLondon @jpmorgan @bancosantander @santander_es @TheRegister

Arc A750 GPU: Intel says it beats Nvidia's GeForce RTX 3060 video card https://t.co/N0N8sUCBGU",0,0,0,0,2022-07-17 09:16:22+00:00,0.0,neu,0.0,neu,AMUSED,INSPIRED,DONT_CARE
"@ldexterldesign Hi Lewis, please contact our digital banking team, using their number here: https://t.co/fchXB1psie and they can log this feedback and help troubleshoot if necessary. ^EC",0,0,1,0,2022-07-17 08:37:16+00:00,0.7269,pos,0.0,neu,INSPIRED,AMUSED,ANNOYED
‘It looks so legit!’ Santander scam email includes full name and account number https://t.co/4tezxPCqda,0,0,0,0,2022-07-17 08:22:48+00:00,-0.6067,neg,0.35,pos,AMUSED,ANGRY,ANNOYED
'It looks so legit!’ Santander scam email includes full name and account number. https://t.co/vwiDApSqJC,0,0,0,0,2022-07-17 08:10:04+00:00,-0.6067,neg,0.35,pos,AMUSED,ANGRY,ANNOYED
